mode: count
coverage-demo/arrayutils.go:6.52,7.15 1 7
coverage-demo/arrayutils.go:7.15,9.3 1 2
coverage-demo/arrayutils.go:11.2,12.40 2 5
coverage-demo/arrayutils.go:12.40,14.23 2 8
coverage-demo/arrayutils.go:14.23,16.4 1 2
coverage-demo/arrayutils.go:17.3,17.40 1 8
coverage-demo/arrayutils.go:19.2,19.20 1 5
coverage-demo/arrayutils.go:23.32,27.28 3 5
coverage-demo/arrayutils.go:27.28,28.17 1 18
coverage-demo/arrayutils.go:28.17,31.4 2 12
coverage-demo/arrayutils.go:33.2,33.15 1 5
coverage-demo/arrayutils.go:37.35,39.33 2 5
coverage-demo/arrayutils.go:39.33,41.3 1 9
coverage-demo/arrayutils.go:42.2,42.15 1 5
coverage-demo/arrayutils.go:46.27,48.28 2 5
coverage-demo/arrayutils.go:48.28,50.3 1 10
coverage-demo/arrayutils.go:51.2,51.14 1 5
coverage-demo/arrayutils.go:55.36,56.21 1 5
coverage-demo/arrayutils.go:56.21,58.3 1 1
coverage-demo/arrayutils.go:60.2,61.32 2 4
coverage-demo/arrayutils.go:61.32,62.16 1 8
coverage-demo/arrayutils.go:62.16,64.4 1 4
coverage-demo/arrayutils.go:66.2,66.17 1 4
coverage-demo/arrayutils.go:70.36,71.21 1 5
coverage-demo/arrayutils.go:71.21,73.3 1 1
coverage-demo/arrayutils.go:75.2,76.32 2 4
coverage-demo/arrayutils.go:76.32,77.16 1 8
coverage-demo/arrayutils.go:77.16,79.4 1 2
coverage-demo/arrayutils.go:81.2,81.17 1 4
coverage-demo/arrayutils.go:85.33,87.28 2 4
coverage-demo/arrayutils.go:87.28,89.3 1 10
coverage-demo/arrayutils.go:90.2,90.15 1 4
coverage-demo/arrayutils.go:94.58,96.28 2 4
coverage-demo/arrayutils.go:96.28,97.21 1 13
coverage-demo/arrayutils.go:97.21,99.4 1 4
coverage-demo/arrayutils.go:101.2,101.15 1 4
coverage-demo/arrayutils.go:105.47,107.28 2 3
coverage-demo/arrayutils.go:107.28,109.3 1 6
coverage-demo/arrayutils.go:110.2,110.15 1 3
coverage-demo/main.go:5.13,11.16 4 0
coverage-demo/main.go:11.16,14.3 2 0
coverage-demo/main.go:16.2,16.62 1 0
coverage-demo/mathutils.go:9.45,10.17 1 5
coverage-demo/mathutils.go:10.17,12.3 1 1
coverage-demo/mathutils.go:13.2,13.17 1 4
coverage-demo/mathutils.go:13.17,15.3 1 1
coverage-demo/mathutils.go:16.2,16.14 1 3
coverage-demo/mathutils.go:20.41,21.23 1 5
coverage-demo/mathutils.go:21.23,23.3 1 1
coverage-demo/mathutils.go:24.2,25.30 2 4
coverage-demo/mathutils.go:25.30,27.3 1 9
coverage-demo/mathutils.go:28.2,28.36 1 4
coverage-demo/mathutils.go:32.40,33.23 1 6
coverage-demo/mathutils.go:33.23,35.3 1 1
coverage-demo/mathutils.go:38.2,42.35 3 5
coverage-demo/mathutils.go:42.35,43.40 1 15
coverage-demo/mathutils.go:43.40,44.29 1 18
coverage-demo/mathutils.go:44.29,46.5 1 6
coverage-demo/mathutils.go:50.2,51.24 2 5
coverage-demo/mathutils.go:51.24,53.3 1 2
coverage-demo/mathutils.go:54.2,54.20 1 3
coverage-demo/mathutils.go:58.36,59.11 1 6
coverage-demo/mathutils.go:59.11,61.3 1 1
coverage-demo/mathutils.go:62.2,62.22 1 5
coverage-demo/mathutils.go:62.22,64.3 1 2
coverage-demo/mathutils.go:65.2,66.26 2 3
coverage-demo/mathutils.go:66.26,68.3 1 15
coverage-demo/mathutils.go:69.2,69.20 1 3
coverage-demo/mathutils.go:73.26,74.11 1 11
coverage-demo/mathutils.go:74.11,76.3 1 3
coverage-demo/mathutils.go:77.2,77.12 1 8
coverage-demo/mathutils.go:77.12,79.3 1 1
coverage-demo/mathutils.go:80.2,80.14 1 7
coverage-demo/mathutils.go:80.14,82.3 1 3
coverage-demo/mathutils.go:84.2,85.32 2 4
coverage-demo/mathutils.go:85.32,86.15 1 5
coverage-demo/mathutils.go:86.15,88.4 1 0
coverage-demo/mathutils.go:90.2,90.13 1 4
coverage-demo/mathutils.go:94.24,98.13 3 12
coverage-demo/mathutils.go:98.13,100.3 1 26
coverage-demo/mathutils.go:101.2,101.10 1 12
coverage-demo/mathutils.go:105.24,106.22 1 6
coverage-demo/mathutils.go:106.22,108.3 1 2
coverage-demo/mathutils.go:109.2,109.29 1 4
coverage-demo/mathutils.go:113.21,114.11 1 32
coverage-demo/mathutils.go:114.11,116.3 1 4
coverage-demo/mathutils.go:117.2,117.10 1 28
coverage-demo/mathutils.go:121.36,122.19 1 7
coverage-demo/mathutils.go:122.19,124.3 1 1
coverage-demo/mathutils.go:125.2,125.18 1 6
coverage-demo/mathutils.go:125.18,127.3 1 1
coverage-demo/mathutils.go:129.2,130.32 2 5
coverage-demo/mathutils.go:130.32,132.3 1 14
coverage-demo/mathutils.go:133.2,133.15 1 5
coverage-demo/mathutils.go:137.25,139.2 1 7
coverage-demo/mathutils.go:142.24,144.2 1 7
coverage-demo/stringutils.go:9.34,10.13 1 5
coverage-demo/stringutils.go:10.13,12.3 1 1
coverage-demo/stringutils.go:13.2,13.56 1 4
coverage-demo/stringutils.go:17.47,18.13 1 7
coverage-demo/stringutils.go:18.13,20.3 1 1
coverage-demo/stringutils.go:21.2,21.25 1 6
coverage-demo/stringutils.go:21.25,23.3 1 3
coverage-demo/stringutils.go:24.2,24.20 1 3
coverage-demo/stringutils.go:24.20,26.3 1 2
coverage-demo/stringutils.go:27.2,27.32 1 1
coverage-demo/stringutils.go:31.31,47.2 8 8
coverage-demo/stringutils.go:50.29,53.2 2 35
coverage-demo/stringutils.go:56.31,57.13 1 6
coverage-demo/stringutils.go:57.13,59.3 1 1
coverage-demo/stringutils.go:60.2,61.19 2 5
coverage-demo/stringutils.go:65.37,67.54 2 5
coverage-demo/stringutils.go:67.54,69.3 1 7
coverage-demo/stringutils.go:70.2,70.22 1 5
coverage-demo/stringutils.go:74.34,79.38 3 9
coverage-demo/stringutils.go:79.38,80.46 1 21
coverage-demo/stringutils.go:80.46,82.4 1 3
coverage-demo/stringutils.go:84.2,84.13 1 6
coverage-demo/stringutils.go:88.38,90.2 1 21
coverage-demo/stringutils.go:93.37,94.11 1 5
coverage-demo/stringutils.go:94.11,96.3 1 1
coverage-demo/stringutils.go:97.2,97.29 1 4
coverage-demo/userservice.go:26.36,31.2 1 10
coverage-demo/userservice.go:34.78,35.31 1 28
coverage-demo/userservice.go:35.31,37.3 1 2
coverage-demo/userservice.go:38.2,38.26 1 26
coverage-demo/userservice.go:38.26,40.3 1 2
coverage-demo/userservice.go:41.2,41.21 1 24
coverage-demo/userservice.go:41.21,43.3 1 1
